No.,Verb.,Verb_apra,pres,purpose,type,Phonological Well-Formedness Rating (PhonWF),Reg Past,Exp1 Reg production probability,Exp 2 production probability,Total Reg production probability,Total Reg production probability Phon WF Residuals,Reg Mean Rating,n,Reg Std Dev,Reg Std Error,Reg PhonWF Residuals (residuals from predicting L from F),"Reg PhonWF Residuals Adjusted (=P rescaled to m, s.d. of L)",Reg PhonWF/ Tradeoff Residuals (residuals from predicting L from F and AD),Rule-Based Model Raw Output (= overall confidence),"Rule-Based Model, Adjusted for PhonWF, rescaled to m, s.d. of Q)", Analogical Model Raw Output ,"Analogical Model, Adjusted for PhonWF, rescaled to m, s.d. of Q)",(blank),Irregular Past,2nd Irreg,Exp1 Irreg production probability,Exp 2 production probability,Total Irreg production probability,Total Irreg production probability Phon WF Residuals,Irreg Mean Rating,n,Irreg Std Dev,Irreg Std Error,Irreg PhonWF Residuals (residuals from predicting AD from F),"Irreg PhonWF Residuals Adjusted (=AH rescaled to m, s.d. of AD)",Irreg PhonWF/Tradeoff Residuals (residuals from predicting AD from F and L),Rule-Based Model Raw Output (= overall confidence),"Rule-Based Model, Adjusted for PhonWF, rescaled to m, s.d. of AI)", Analogical Model Raw Output ,"Analogical Model, Adjusted for PhonWF, rescaled to m, s.d. of AI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,blig,B L IH G,blÈIg,IOR,IOR Irreg.,3.714,blÈIgd,0.941,0.652,0.775,0.035,5.667,24,1.167,0.238,0.185,5.946,-0.008,0.961,5.663,0.398,5.444,,blÈÃg,0,0.000,0.130,0.075,-0.028,4.167,24,1.949,0.398,-0.246,3.969,-0.075,0.880,5.192,0.028,4.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,chake,CH EY K,CÈek,IOR,IOR Irreg.,5.333,CÈekt,0.950,0.818,0.881,0.021,5.739,23,1.287,0.268,-0.198,5.548,0.210,0.900,4.774,0.462,5.653,,CÈUk,0,0.000,0.000,0.000,-0.068,5.043,23,1.397,0.291,0.957,5.188,0.916,0.835,5.128,0.040,4.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,drit,D R IH T,drÈIt,IOR,IOR Irreg.,4.300,drÈIt«d,0.842,0.591,0.707,-0.076,4.957,23,1.821,0.380,-0.690,5.036,-0.340,0.944,5.425,0.352,5.295,,drÈIt,0,0.053,0.091,0.073,-0.017,5.130,23,1.792,0.374,0.836,5.065,0.550,0.477,4.617,0.031,4.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,fleep,F L IY P,flÈip,IOR,IOR Irreg.,4.238,flÈipt,1.000,0.478,0.721,-0.058,5.000,23,1.758,0.367,-0.629,5.100,0.198,0.963,5.693,0.433,5.559,,flÈEpt,0,0.000,0.435,0.233,0.141,6.087,23,1.083,0.226,1.780,6.022,1.526,0.848,5.147,0.067,4.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,gleed,G L IY D,glÈid,IOR,IOR Irreg.,5.286,glÈid«d,0.684,0.455,0.561,-0.296,4.217,23,1.906,0.397,-1.706,3.979,-0.821,0.872,4.364,0.306,5.146,,glÈEd,0,0.158,0.318,0.244,0.175,6.000,23,1.087,0.227,1.904,6.148,1.086,0.793,5.068,0.083,4.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,glit,G L IH T,glÈIt,IOR,IOR Irreg.,5.250,glÈIt«d,0.778,0.542,0.643,-0.211,5.000,24,1.694,0.346,-0.914,4.804,-0.431,0.944,5.425,0.374,5.367,,glÈIt,0,0.167,0.125,0.143,0.073,5.208,24,1.615,0.330,1.105,5.338,0.696,0.669,4.891,0.057,4.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,queed,K W IY D,kwÈid,IOR,IOR Irreg.,3.810,kwÈid«d,0.700,0.364,0.524,-0.223,4.652,23,1.921,0.401,-0.857,4.863,-0.444,0.872,4.364,0.293,5.102,,kwÈEd,0,0.100,0.318,0.214,0.113,5.348,23,1.496,0.312,0.954,5.185,0.587,0.348,4.433,0.029,4.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,plim,P L IH M,plÈIm,IOR,IOR Irreg.,4.429,plÈImd,0.950,0.682,0.810,0.017,6.130,23,1.254,0.262,0.448,6.220,0.328,0.966,5.741,0.557,5.961,,plÈÃm,0,0.000,0.136,0.071,-0.016,4.174,23,1.969,0.411,-0.095,4.122,0.205,0.411,4.522,0.030,4.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,skride,S K R AY D,skrÈYd,IOR,IOR Irreg.,4.050,skrÈYd«d,0.556,0.292,0.405,-0.360,4.174,23,2.125,0.443,-1.403,4.295,-1.449,0.887,4.578,0.228,4.890,,skrÈod,0,0.111,0.250,0.190,0.094,4.391,23,1.901,0.396,0.046,4.265,-0.605,0.731,4.980,0.107,4.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,spling,S P L IH NG,splÈIN,IOR,IOR Irreg.,4.556,splÈINd,0.667,0.368,0.514,-0.289,4.364,22,1.814,0.387,-1.355,4.345,-0.816,0.925,5.140,0.369,5.350,,splÈÃN,0,0.222,0.421,0.324,0.239,5.455,22,1.405,0.300,1.211,5.446,0.581,0.880,5.192,0.192,5.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
