No.,Verb.,Verb_apra,pres,purpose,type,Phonological Well-Formedness Rating (PhonWF),Reg Past,Exp1 Reg production probability,Exp 2 production probability,Total Reg production probability,Total Reg production probability Phon WF Residuals,Reg Mean Rating,n,Reg Std Dev,Reg Std Error,Reg PhonWF Residuals (residuals from predicting L from F),"Reg PhonWF Residuals Adjusted (=P rescaled to m, s.d. of L)",Reg PhonWF/ Tradeoff Residuals (residuals from predicting L from F and AD),Rule-Based Model Raw Output (= overall confidence),"Rule-Based Model, Adjusted for PhonWF, rescaled to m, s.d. of Q)", Analogical Model Raw Output ,"Analogical Model, Adjusted for PhonWF, rescaled to m, s.d. of Q)",(blank),Irregular Past,2nd Irreg,Exp1 Irreg production probability,Exp 2 production probability,Total Irreg production probability,Total Irreg production probability Phon WF Residuals,Irreg Mean Rating,n,Irreg Std Dev,Irreg Std Error,Irreg PhonWF Residuals (residuals from predicting AD from F),"Irreg PhonWF Residuals Adjusted (=AH rescaled to m, s.d. of AD)",Irreg PhonWF/Tradeoff Residuals (residuals from predicting AD from F and L),Rule-Based Model Raw Output (= overall confidence),"Rule-Based Model, Adjusted for PhonWF, rescaled to m, s.d. of AI)", Analogical Model Raw Output ,"Analogical Model, Adjusted for PhonWF, rescaled to m, s.d. of AI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,teep,T IY P,tÈip,IOR,IOR Irreg.,4.952,tÈipt,1.000,0.783,0.884,0.052,5.913,23,1.345,0.281,0.083,5.840,0.278,0.963,5.693,0.448,5.607,,tÈEpt,0,0.000,0.087,0.047,-0.029,4.696,23,1.893,0.395,0.532,4.758,0.640,0.559,4.733,0.043,4.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,gude,G UW D,gÈud,IOR,IOR neither,4.250,gÈud«d,0.625,0.500,0.556,-0.224,4.900,20,2.125,0.475,-0.733,4.992,-0.175,0.989,6.074,0.340,5.255,,gÈud,0,0.375,0.300,0.333,0.242,5.550,20,1.468,0.328,1.245,5.480,0.938,0.014,3.955,0.017,3.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,nung,N AH NG,nÈÃN,IOR,IOR neither,3.211,nÈÃNd,0.933,0.737,0.824,0.121,5.368,19,1.535,0.352,0.028,5.783,-0.139,0.925,5.140,0.559,5.967,,nÈQN,0,0.000,0.105,0.059,-0.055,4.316,19,2.001,0.459,-0.199,4.017,-0.104,0.000,3.935,0.005,3.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,pank,P AE NG K,pÈQNk,IOR,IOR neither,5.619,pÈQNkt,1.000,0.810,0.900,0.019,6.304,23,1.105,0.230,0.287,6.053,0.196,0.958,5.620,0.546,5.924,,pÈÃNk,0,0.000,0.143,0.075,0.014,4.000,23,1.907,0.398,-0.029,4.189,0.178,0.000,3.935,0.005,3.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,preak,P R IY K,prÈik,IOR,IOR neither,4.905,prÈikt,0.900,0.792,0.841,0.013,5.833,24,1.341,0.274,0.017,5.771,-0.186,0.941,5.369,0.507,5.799,,prÈok,0,0.100,0.167,0.136,0.059,3.917,24,1.816,0.371,-0.256,3.959,-0.182,0.033,3.982,0.010,3.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,rask,R AE S K,rÈQsk,IOR,IOR neither,5.300,rÈQskt,1.000,0.870,0.930,0.073,6.417,24,0.654,0.133,0.489,6.263,0.409,0.982,5.970,0.603,6.112,,rÈÃsk,0,0.000,0.043,0.023,-0.045,4.083,24,1.767,0.361,-0.010,4.208,0.304,0.000,3.935,0.001,3.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,shilk,SH IH L K,SÈIlk,IOR,IOR neither,4.600,SÈIlkt,1.000,0.950,0.975,0.169,5.792,24,1.474,0.301,0.061,5.817,-0.298,0.982,5.970,0.315,5.174,,SÈQlk,0,0.000,0.000,0.000,-0.084,3.667,24,1.579,0.322,-0.568,3.643,-0.468,0.000,3.935,0.034,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,tark,T AA R K,tÈark,IOR,IOR neither,5.095,tÈarkt,1.000,0.870,0.930,0.088,6.333,24,1.007,0.206,0.463,6.236,0.174,0.982,5.970,0.464,5.657,,tÈork,0,0.000,0.043,0.023,-0.050,3.708,24,1.706,0.348,-0.426,3.787,-0.123,0.000,3.935,0.000,3.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,tunk,T AH NG K,tÈÃNk,IOR,IOR neither,4.650,tÈÃNkt,1.000,0.826,0.907,0.098,5.667,24,1.204,0.246,-0.078,5.673,-0.306,0.958,5.620,0.507,5.800,,tÈQNk,0,0.000,0.087,0.047,-0.036,3.917,24,2.020,0.412,-0.308,3.907,-0.280,0.000,3.935,0.001,3.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,trisk,T R IH S K,trÈIsk,IOR,IOR neither,5.143,trÈIskt,1.000,0.789,0.897,0.051,6.286,21,0.784,0.171,0.402,6.172,0.145,0.982,5.970,0.585,6.053,,trÈQsk,0,0.000,0.105,0.051,-0.021,3.762,21,1.921,0.419,-0.363,3.851,-0.092,0.000,3.935,0.020,4.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,blafe,B L EY F,blÈef,IOR,IOR Reg.,3.571,blÈeft,1.000,0.818,0.892,0.163,6.318,22,0.780,0.166,0.876,6.666,0.631,0.998,6.216,0.308,5.153,,blÈEft,0,0.000,0.045,0.027,-0.079,4.091,22,1.540,0.328,-0.351,3.863,0.178,0.000,3.935,0.000,3.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,bredge,B R EH JH,brÈEJ,IOR,IOR Reg.,3.857,brÈEJd,0.950,0.905,0.927,0.177,6.333,21,0.856,0.187,0.811,6.598,0.260,0.995,6.163,0.522,5.848,,brÈoJ,0,0.050,0.048,0.049,-0.051,3.429,21,1.938,0.423,-0.956,3.250,-0.463,0.000,3.935,0.000,3.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,chool,CH UW L,CÈul,IOR,IOR Reg.,3.762,CÈuld,1.000,0.957,0.977,0.234,6.125,24,1.262,0.258,0.630,6.409,0.210,0.992,6.117,0.686,6.382,,CÈol,0,0.000,0.043,0.023,-0.079,3.708,24,1.681,0.343,-0.695,3.514,-0.295,0.000,3.935,0.025,4.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,dape,D EY P,dÈep,IOR,IOR Reg.,5.143,dÈept,1.000,0.957,0.976,0.130,6.250,24,0.847,0.173,0.366,6.135,0.229,0.993,6.138,0.434,5.562,,dÈQpt,0,0.000,0.000,0.000,-0.072,4.000,24,1.383,0.282,-0.125,4.092,0.127,0.000,3.935,0.000,3.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ghez,G EH Z,gÈEz,IOR,IOR Reg.,4.190,gÈEzd,1.000,0.955,0.976,0.201,6.609,23,0.656,0.137,0.993,6.787,0.016,0.988,6.060,0.536,5.892,,gÈaz,0,0.000,0.000,0.000,-0.093,2.522,23,1.275,0.266,-1.795,2.399,-1.211,0.000,3.935,0.012,3.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,nace,N EY S,nÈes,IOR,IOR Reg.,5.000,nÈest,1.000,1.000,1.000,0.165,6.565,23,0.590,0.123,0.722,6.505,0.022,0.998,6.216,0.437,5.570,,nÈos,0,0.000,0.000,0.000,-0.075,2.913,23,1.621,0.338,-1.241,2.961,-0.804,0.046,4.001,0.005,3.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,spack,S P AE K,spÈQk,IOR,IOR Reg.,5.050,spÈQkt,1.000,0.739,0.860,0.021,6.217,23,1.380,0.288,0.360,6.128,0.192,0.984,6.013,0.505,5.793,,spÈÃk,0,0.000,0.130,0.070,-0.004,3.957,23,1.918,0.400,-0.187,4.029,0.063,0.000,3.935,0.001,3.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,stire,S T AY R,stÈYr,IOR,IOR Reg.,5.619,stÈYrd,1.000,0.818,0.902,0.021,6.000,23,1.414,0.295,-0.018,5.736,-0.503,0.985,6.020,0.657,6.286,,stÈor,0,0.000,0.091,0.049,-0.012,3.217,23,1.678,0.350,-0.811,3.396,-0.761,0.000,3.935,0.022,4.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,tesh,T EH SH,tÈES,IOR,IOR Reg.,4.714,tÈESt,1.000,0.870,0.925,0.111,6.217,23,1.085,0.226,0.454,6.227,-0.164,0.998,6.216,0.443,5.589,,tÈaS,0,0.000,0.000,0.000,-0.081,3.130,23,1.792,0.374,-1.081,3.123,-0.779,0.000,3.935,0.004,3.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,whiss,W IH S,wÈIs,IOR,IOR Reg.,5.762,wÈIst,0.950,0.952,0.951,0.059,6.565,23,0.590,0.123,0.508,6.282,0.102,0.998,6.216,0.470,5.677,,wÈÃs,0,0.000,0.048,0.024,-0.034,3.348,23,1.748,0.364,-0.652,3.557,-0.332,0.000,3.935,0.017,3.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,nold,N OW L D,nÈold,IOR,IOR neither,4.095,nÈold«d,0.833,0.273,0.525,-0.243,4.636,22,1.787,0.381,-0.953,4.763,-0.161,0.900,4.776,0.427,5.538,,nÈold,0,0.167,0.500,0.350,0.255,6.045,22,1.174,0.250,1.709,5.950,1.290,0.014,3.955,0.008,3.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,grell,G R EH L,grÈEl,burnt,,4.524,grÈEld,1.000,0.810,0.902,0.103,5.857,21,1.424,0.311,0.147,5.908,0.406,0.974,5.861,0.620,6.166,,grÈElt,0,0.000,0.143,0.073,-0.012,4.905,21,1.868,0.408,0.655,4.882,0.800,0.090,4.064,0.189,5.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,murn,M ER N,mÈÕn,burnt,,5.429,mÈÕnd,0.947,0.957,0.952,0.085,6.565,23,0.507,0.106,0.601,6.380,0.865,0.985,6.024,0.659,6.292,,mÈÕnt,0,0.053,0.043,0.048,-0.018,4.739,23,1.815,0.378,0.672,4.899,1.043,0.466,4.601,0.169,5.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,shurn,SH ER N,SÈÕn,burnt,,5.000,SÈÕnd,0.947,0.857,0.900,0.065,6.565,23,0.662,0.138,0.722,6.505,0.680,0.985,6.024,0.664,6.309,,SÈÕnt,0,0.000,0.000,0.000,-0.075,4.217,23,1.594,0.332,0.064,4.283,0.501,0.012,3.952,0.155,5.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,scoil,S K OY L,skÈOl,burnt,,3.842,skÈOld,0.944,0.947,0.946,0.197,6.450,20,0.826,0.185,0.932,6.724,1.248,0.979,5.930,0.726,6.511,,skÈOlt,0,0.000,0.000,0.000,-0.100,5.150,20,1.424,0.319,0.763,4.991,1.318,0.051,4.008,0.130,4.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,skell,S K EH L,skÈEl,burnt,,5.048,skÈEld,0.944,0.682,0.800,-0.039,6.045,22,1.046,0.223,0.189,5.950,0.707,0.974,5.861,0.643,6.242,,skÈElt,0,0.000,0.227,0.125,0.051,5.318,22,1.492,0.318,1.174,5.408,1.336,0.090,4.064,0.169,5.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,squill,S K W IH L,skwÈIl,burnt,,4.667,skwÈIld,0.895,0.810,0.850,0.039,5.917,24,1.381,0.282,0.167,5.928,0.593,0.974,5.861,0.661,6.299,,skwÈIlt,0,0.000,0.048,0.025,-0.057,5.208,24,1.668,0.340,0.987,5.219,1.141,0.090,4.064,0.166,5.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,snell,S N EH L,snÈEl,burnt,,5.381,snÈEld,0.947,0.826,0.881,0.017,6.174,23,1.230,0.257,0.223,5.986,0.768,0.974,5.861,0.623,6.177,,snÈElt,0,0.000,0.130,0.071,0.004,5.304,23,1.690,0.352,1.228,5.462,1.404,0.090,4.064,0.171,5.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,kive,K AY V,kÈIv,single-form analogy,,4.381,kÈIvd,0.950,0.864,0.905,0.115,6.000,22,1.234,0.263,0.330,6.098,0.325,0.955,5.579,0.530,5.875,,kÈev,0,0.000,0.091,0.048,-0.041,4.409,22,1.790,0.382,0.131,4.351,0.371,0.000,3.935,0.033,4.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,lum,L AH M,lÈÃm,single-form analogy,,4.810,lÈÃmd,1.000,0.826,0.905,0.084,6.348,23,0.714,0.149,0.558,6.334,-0.182,0.966,5.741,0.612,6.140,,lÈem,0,0.000,0.000,0.000,-0.079,2.870,23,1.817,0.379,-1.322,2.878,-0.968,0.000,3.935,0.010,3.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,pum,P AH M,pÈÃm,single-form analogy,,4.810,pÈÃmd,1.000,0.826,0.902,0.081,6.167,24,1.050,0.214,0.377,6.146,-0.445,0.966,5.741,0.587,6.059,,pÈem,0,0.000,0.000,0.000,-0.079,2.708,24,1.756,0.359,-1.484,2.715,-1.223,0.000,3.935,0.020,4.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,shee,SH IY,SÈi,single-form analogy,,5.952,SÈid,1.000,0.875,0.929,0.022,6.167,24,1.050,0.214,0.055,5.812,-0.381,0.979,5.938,0.535,5.890,,SÈ_,0,0.000,0.000,0.000,-0.054,3.250,24,1.775,0.362,-0.712,3.497,-0.627,0.000,3.935,0.040,4.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,zay,Z EY,zÈe,single-form analogy,,4.143,zÈed,0.950,1.000,0.977,0.205,6.391,23,0.941,0.196,0.789,6.575,0.751,0.992,6.130,0.566,5.989,,zÈEd,0,0.000,0.000,0.000,-0.094,4.391,23,1.725,0.360,0.065,4.284,0.544,0.000,3.935,0.024,4.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,flet,F LEH,flÈEt,single-form analogy,,4.238,flÈEt«d,0.889,0.368,0.622,-0.157,4.500,20,1.850,0.414,-1.129,4.580,-0.523,0.944,5.425,0.381,5.388,,flÈEt,0,0.111,0.474,0.297,0.205,5.650,20,1.814,0.406,1.343,5.579,0.831,0.900,5.221,0.055,4.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
