word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
B AY Z,3,-12.769875144060062,-12.768963778100812,-12.768301382984824,-12.768065659955885,-9.778039349420036,-9.903878416485899,-9.83194771988092,-9.917440999909068,1.1037247029670203,1.1048018044244805,1.103666091007697,1.10478682276587,1.0032852900094553,1.0028133227471403,1.0031293380040673,1.0027823290107878
D AY Z,3,-12.33759724886804,-12.336838027559967,-12.291712300150202,-12.291519906483275,-9.377855608091103,-9.52975945715249,-9.433801699057788,-9.543969540546161,1.114996118656831,1.115936856540793,1.1149127872906637,1.1159158754070146,1.0057663997421722,1.0053756649072794,1.0054144587519251,1.0052918563939524
D R AY S,4,-13.500572774490374,-13.500688171297105,-13.389907096019542,-13.38994763022822,-14.322152990160811,-14.32258823754734,-14.345484893370188,-14.328399800049539,1.2121881667675647,1.214006413962024,1.2119410694262798,1.2139441832109383,1.00937266282709,1.010286531893113,1.0087809411022672,1.0101120931447423
F L IH JH,4,-14.267090207377496,-14.266830578560327,-14.289258736841315,-14.289188679548932,-12.664214138189207,-12.619255658850639,-12.714889557198088,-12.632666364285058,1.1354451265671734,1.1362139555111936,1.1353767393048855,1.1361970449484158,1.0124937382498653,1.0124039669363964,1.0116539039084593,1.012185607646663
F R OW,3,-11.361309723907299,-11.360945751218111,-11.356232808432594,-11.356134069470587,-10.438247359216081,-10.440439060073263,-10.480914075926165,-10.451789077373068,1.1512363276780324,1.1535937257217879,1.1510736384799949,1.1535525187230402,1.0129144767657903,1.0129018889016903,1.011990546102738,1.0126603737555644
G EY R,3,-11.158338612677316,-11.158073927201187,-11.167777428654361,-11.167703413992369,-inf,-inf,-17.202120455628588,-18.428154825530584,1.126785683980238,1.1300927376013572,1.1266744658737624,1.130063440411066,1.0010149994361115,1.001032048234869,1.0010394714994373,1.0010381775142383
G L IH P,4,-13.485856830491468,-13.485953408185303,-13.517233657995607,-13.517253425894019,-14.7640711050562,-14.802290961650133,-14.793982418254915,-14.81014136942648,1.140600008587546,1.142547408807818,1.1405131179051888,1.1425244204982012,1.0101559186533435,1.0101566910289772,1.0094890590440904,1.0099801109754014
R AY F,3,-11.315212177121612,-11.314880384374865,-11.222602273059293,-11.222527797400568,-13.367500802527804,-13.252600901591272,-13.36471527747877,-13.251035139200308,1.1166876416943927,1.117649362807511,1.116600473429018,1.1176274449493413,1.0025540768950119,1.0026347873361292,1.0024557491930226,1.002607484748341
S T IH N,4,-10.814691989876218,-10.815546400043072,-10.799209690360097,-10.799431485056235,-9.043299041150906,-9.077797027816056,-9.063224645414953,-9.082907409388316,1.2055299830169028,1.2116502602778818,1.2052977364931674,1.2115891112076262,1.0207913400508832,1.022798768385287,1.019272034132967,1.022356262307636
S T IH P,4,-11.652908153150262,-11.653604379488929,-11.616661029661024,-11.616843424940436,-12.079414400283072,-12.051605558462036,-12.098379726247192,-12.056471059470626,1.1953650424722155,1.2020481279975301,1.195158077032674,1.2019930938170444,1.0191930789589512,1.020980943441163,1.0178154123302519,1.0205825185319637
B L IH G,4,-13.927658607194745,-13.927600373190236,-13.999703689034664,-13.999679711443756,-14.456783581646336,-14.312122901782452,-14.489975742579208,-14.321512457778885,1.144006488090777,1.1418235130005223,1.1439184979077002,1.1418034070991683,1.009553976070539,1.009669712208933,1.008946976351334,1.0095085734859413
CH EY K,3,-12.155169493653434,-12.153851977777812,-12.065255471137775,-12.064955119478354,-14.437779075478062,-13.896621120376095,-14.411214846983537,-13.896050814310273,1.0885812014437037,1.0905449570485604,1.0885545097482259,1.0905372503694406,1.0018256268313572,1.002492256568731,1.0017845011332112,1.0024674536798612
D R IH T,4,-11.728485043354915,-11.7291684065891,-11.677270011958106,-11.677449850605072,-11.786590300243358,-11.786486861410758,-11.805599533483898,-11.791233750543196,1.2702010343255732,1.275172380866214,1.269815707109088,1.275073042430777,1.0190671326088596,1.0193533207317338,1.0176786873574284,1.0189809300576638
