word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed,rating
K R,2,-4.442198665398635,-4.670898475261252,-4.3984407253995625,-4.449579443419284,-4.007333185232471,-3.809666456837841,-6.027107438913379,-4.480465901380814,1.3454545454545457,1.4015984393514964,1.2467532467532467,1.365184828033187,1.0303030303030305,1.038297380135727,1.0038684719535784,1.010879625830153,1.0
G R,2,-5.135345845958581,-5.2586851401633705,-5.104686915341249,-5.130634928347961,-4.007333185232471,-3.944846726595568,-6.294422208540726,-4.858385987864167,1.3454545454545457,1.3833272765277391,1.2467532467532467,1.3481628346408825,1.0303030303030305,1.037292731629929,1.0038684719535784,1.0106352380087749,1.0
K L,2,-4.809923445523953,-5.007370711882464,-4.907211335544121,-4.949203897295973,-4.007333185232471,-4.428090497988186,-6.245796639878209,-5.168006861876308,1.2545454545454546,1.2910546860587104,1.192207792207792,1.268335861723711,1.0303030303030305,1.0363309998871122,1.0038684719535784,1.01040128999211,1.0
S T,2,-4.838094322490649,-5.007370711882464,-4.784178329860876,-4.825225775695481,-4.230476736546681,-4.03501485962245,-6.394556471070591,-4.824281909461863,1.315151515151515,1.2939363961394623,1.2493506493506492,1.2784880822001334,1.0606060606060606,1.0736920463900366,1.0058027079303675,1.019489627561467,1.0
S M,2,-5.754385054364803,-5.700517892442409,-5.659120409372727,-5.654239558675158,-4.007333185232471,-4.219939336857888,-6.686692893871752,-5.36407902132672,1.284848484848485,1.2485682458895129,1.2311688311688311,1.238740395657927,1.0303030303030305,1.028323896140087,1.0038684719535784,1.008453505638689,0.96969697
P R,2,-4.729880737850416,-4.922212903542158,-4.5733185729035934,-4.619718683606517,-4.007333185232471,-3.816406334254253,-6.1835596157289165,-4.549197198242742,1.3272727272727272,1.3853398739202565,1.2337662337662338,1.350037834051005,1.0303030303030305,1.044688202939821,1.0038684719535784,1.0124342384662042,0.96969697
T R,2,-4.91220229464437,-5.076363583369416,-4.708946169787985,-4.751075446984653,-3.825011628438516,-3.773325109613461,-6.148468295917646,-4.560980170614593,1.3272727272727272,1.3764367807536175,1.2337662337662338,1.3417434307601237,1.0303030303030305,1.0401339692528773,1.0038684719535784,1.0113263890617863,0.939393939
D R,2,-5.423027918410361,-5.48182869147758,-5.294153977792391,-5.309908885255572,-4.007333185232471,-4.025625999322512,-6.479825431872089,-5.023974174656231,1.3272727272727272,1.3721801843189378,1.2337662337662338,1.3377778508414435,1.0303030303030305,1.034398713742238,1.0038684719535784,1.0099312477848117,0.939393939
B L,2,-5.790752698535679,-5.818300928098793,-5.660656252249373,-5.675087274792332,-4.007333185232471,-4.02386479287838,-6.698514632836919,-5.089886088430855,1.2363636363636363,1.269806088536066,1.1792207792207792,1.248539995958895,1.0303030303030305,1.0344593503596775,1.0038684719535784,1.0099459980688623,0.939393939
F L,2,-5.790752698535679,-5.818300928098793,-5.668983581789826,-5.682985179698547,-4.007333185232471,-3.9679016983179447,-6.698514632836919,-5.0467133854173385,1.2363636363636363,1.269295205682138,1.1792207792207792,1.2480640413276718,1.0303030303030305,1.036442784161677,1.0038684719535784,1.0104284823038163,0.939393939
