word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
B IH M F,4,-14.134191396335437,-14.159330854744026,-15.777858931977672,-15.722544533814062,-15.780160239583484,-15.722645902845688,1.2171689457541188,1.2163226486285392,1.2169198600124753,1.2162621636046258,1.0134663912965751,1.0140542687670353,1.0125489222512354,1.0138019316804323
