Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
22,bwell,B W EH L,1,test,natural,NatTest,4.068,4,0.00000415,line,2,76.18417,4.333153698
23,bwell,B W EH L,30,test,natural,NatTest,4.068,4,0.00000415,line,2,46.88538,3.8477059
24,bwell,B W EH L,66,test,natural,NatTest,4.068,4,0.00000415,line,2,147.8049,4.995893161
25,bwell,B W EH L,64,test,natural,NatTest,4.068,4,0.00000415,line,2,23.52168,3.157922549
26,bwell,B W EH L,12,test,natural,NatTest,4.068,4,0.00000415,line,1,211.619,5.354787488
27,bwell,B W EH L,51,test,natural,NatTest,4.068,4,0.00000415,line,2,502.3782,6.219353222
28,bwell,B W EH L,39,test,natural,NatTest,4.068,4,0.00000415,line,2,104.8389,4.652424886
29,bwell,B W EH L,56,test,natural,NatTest,4.068,4,0.00000415,line,2,62.65836,4.137697112
1,canifl,C AH N IH F L,24,test,natural,NatTest,4.538,5,0.000000711,line,2,85.98769,4.454204146
2,canifl,C AH N IH F L,45,test,natural,NatTest,4.538,5,0.000000711,line,1,41.02075,3.714078036
3,canifl,C AH N IH F L,43,test,natural,NatTest,4.538,5,0.000000711,line,2,26.2832,3.268929952
4,canifl,C AH N IH F L,25,test,natural,NatTest,4.538,5,0.000000711,line,1,10.41797,2.3435322
5,canifl,C AH N IH F L,3,test,natural,NatTest,4.538,5,0.000000711,line,2,39.72384,3.681951511
6,canifl,C AH N IH F L,74,test,natural,NatTest,4.538,5,0.000000711,line,1,25.3938,3.23450505
7,canifl,C AH N IH F L,66,test,natural,NatTest,4.538,5,0.000000711,line,2,96.36621,4.568155621
8,canifl,C AH N IH F L,3,test,natural,NatTest,4.538,5,0.000000711,line,2,48.18311,3.875008545
9,canifl,C AH N IH F L,4,test,natural,NatTest,4.538,5,0.000000711,line,1,143.2486,4.964581582
10,canifl,C AH N IH F L,50,test,natural,NatTest,4.538,5,0.000000711,line,1,14.68262,2.686664481
11,canifl,C AH N IH F L,43,test,natural,NatTest,4.538,5,0.000000711,line,1,20.06424,2.998939126
12,canifl,C AH N IH F L,59,test,natural,NatTest,4.538,5,0.000000711,line,2,18.89379,2.938833297
13,canifl,C AH N IH F L,33,test,natural,NatTest,4.538,5,0.000000711,line,2,6.51123,1.873528378
14,canifl,C AH N IH F L,55,test,natural,NatTest,4.538,5,0.000000711,line,2,36.10978,3.586563743
15,canifl,C AH N IH F L,68,test,natural,NatTest,4.538,5,0.000000711,line,2,64.51744,4.166935575
16,canifl,C AH N IH F L,56,test,natural,NatTest,4.538,5,0.000000711,line,2,9.115723,2.210000725
17,canifl,C AH N IH F L,29,test,natural,NatTest,4.538,5,0.000000711,line,2,84.119,4.432232463
18,canifl,C AH N IH F L,67,test,natural,NatTest,4.538,5,0.000000711,line,2,22.14776,3.097736363
19,canifl,C AH N IH F L,27,test,natural,NatTest,4.538,5,0.000000711,line,1,20.18481,3.004930341
20,canifl,C AH N IH F L,69,test,natural,NatTest,4.538,5,0.000000711,line,2,85.08008,4.443592931
21,canifl,C AH N IH F L,42,test,natural,NatTest,4.538,5,0.000000711,line,2,36.46289,3.596295031
22,canifl,C AH N IH F L,68,test,natural,NatTest,4.538,5,0.000000711,line,2,98.32173,4.588245061
23,canifl,C AH N IH F L,45,test,natural,NatTest,4.538,5,0.000000711,line,2,48.83857,3.88852037
24,canifl,C AH N IH F L,2,test,natural,NatTest,4.538,5,0.000000711,line,2,80.08813,4.383127653
25,canifl,C AH N IH F L,61,test,natural,NatTest,4.538,5,0.000000711,line,2,18.23145,2.903148125
26,canifl,C AH N IH F L,22,test,natural,NatTest,4.538,5,0.000000711,line,1,70.32129,4.253074598
27,canifl,C AH N IH F L,79,test,natural,NatTest,4.538,5,0.000000711,line,2,83.34375,4.422973621
28,canifl,C AH N IH F L,61,test,natural,NatTest,4.538,5,0.000000711,line,2,61.21942,4.114464459
29,canifl,C AH N IH F L,10,test,natural,NatTest,4.538,5,0.000000711,line,2,58.17347,4.063429409
1,cnope,K N OW P,21,test,natural,NatTest,4.21,4,0.00000187,line,2,29.5686,3.386712987
2,cnope,K N OW P,28,test,natural,NatTest,4.21,4,0.00000187,line,1,7.813477,2.055850063
3,cnope,K N OW P,31,test,natural,NatTest,4.21,4,0.00000187,line,2,63.27951,4.14756158
4,cnope,K N OW P,55,test,natural,NatTest,4.21,4,0.00000187,line,1,9.115723,2.210000725
5,cnope,K N OW P,69,test,natural,NatTest,4.21,4,0.00000187,line,2,21.48706,3.067450893
6,cnope,K N OW P,68,test,natural,NatTest,4.21,4,0.00000187,line,1,18.23145,2.903148125
7,cnope,K N OW P,3,test,natural,NatTest,4.21,4,0.00000187,line,2,32.99023,3.496211457
8,cnope,K N OW P,47,test,natural,NatTest,4.21,4,0.00000187,line,2,37.11401,3.613994526
9,cnope,K N OW P,79,test,natural,NatTest,4.21,4,0.00000187,line,1,121.1159,4.796747938
10,cnope,K N OW P,43,test,natural,NatTest,4.21,4,0.00000187,line,1,10.06175,2.308741106
11,cnope,K N OW P,48,test,natural,NatTest,4.21,4,0.00000187,line,1,27.78125,3.324361333
12,cnope,K N OW P,33,test,natural,NatTest,4.21,4,0.00000187,line,2,45.95379,3.827636326
13,cnope,K N OW P,8,test,natural,NatTest,4.21,4,0.00000187,line,2,33.20728,3.502769129
14,cnope,K N OW P,69,test,natural,NatTest,4.21,4,0.00000187,line,2,35.63705,3.573385827
15,cnope,K N OW P,65,test,natural,NatTest,4.21,4,0.00000187,line,2,23.25,3.146305132
16,cnope,K N OW P,10,test,natural,NatTest,4.21,4,0.00000187,line,2,35.18475,3.56061275
17,cnope,K N OW P,79,test,natural,NatTest,4.21,4,0.00000187,line,2,47.85171,3.868106854
18,cnope,K N OW P,48,test,natural,NatTest,4.21,4,0.00000187,line,2,50.80429,3.9279808
19,cnope,K N OW P,19,test,natural,NatTest,4.21,4,0.00000187,line,1,27.99829,3.332143437
20,cnope,K N OW P,72,test,natural,NatTest,4.21,4,0.00000187,line,2,73.79395,4.30127675
21,cnope,K N OW P,55,test,natural,NatTest,4.21,4,0.00000187,line,2,46.89894,3.847995074
22,cnope,K N OW P,50,test,natural,NatTest,4.21,4,0.00000187,line,2,117.204,4.763916006
23,cnope,K N OW P,70,test,natural,NatTest,4.21,4,0.00000187,line,2,56.01172,4.025560955
24,cnope,K N OW P,29,test,natural,NatTest,4.21,4,0.00000187,line,2,76.1814,4.333117338
25,cnope,K N OW P,15,test,natural,NatTest,4.21,4,0.00000187,line,2,13.67358,2.615465504
26,cnope,K N OW P,8,test,natural,NatTest,4.21,4,0.00000187,line,1,123.0623,4.812690731
27,cnope,K N OW P,46,test,natural,NatTest,4.21,4,0.00000187,line,2,81.06171,4.395210716
28,cnope,K N OW P,18,test,natural,NatTest,4.21,4,0.00000187,line,2,45.58326,3.819540544
29,cnope,K N OW P,80,test,natural,NatTest,4.21,4,0.00000187,line,2,5.062223,1.621805715
1,cping,K P IH NG,76,test,natural,NatTest,4.33,4,0.0000165,line,2,41.70803,3.730693676
2,cping,K P IH NG,62,test,natural,NatTest,4.33,4,0.0000165,line,1,3.906738,1.362702755
3,cping,K P IH NG,62,test,natural,NatTest,4.33,4,0.0000165,line,2,30.8777,3.430034241
4,cping,K P IH NG,37,test,natural,NatTest,4.33,4,0.0000165,line,1,11.72021,2.461314702
5,cping,K P IH NG,68,test,natural,NatTest,4.33,4,0.0000165,line,2,11.72021,2.461314702
6,cping,K P IH NG,64,test,natural,NatTest,4.33,4,0.0000165,line,1,13.67358,2.615465504
7,cping,K P IH NG,37,test,natural,NatTest,4.33,4,0.0000165,line,2,87.68457,4.473745943
8,cping,K P IH NG,35,test,natural,NatTest,4.33,4,0.0000165,line,2,29.95166,3.399584749
9,cping,K P IH NG,12,test,natural,NatTest,4.33,4,0.0000165,line,1,34.50952,3.541235228
10,cping,K P IH NG,74,test,natural,NatTest,4.33,4,0.0000165,line,1,6.945313,1.938067044
11,cping,K P IH NG,50,test,natural,NatTest,4.33,4,0.0000165,line,1,59.60113,4.087674534
12,cping,K P IH NG,13,test,natural,NatTest,4.33,4,0.0000165,line,2,28.00586,3.332413774
13,cping,K P IH NG,79,test,natural,NatTest,4.33,4,0.0000165,line,2,NA,NA
14,cping,K P IH NG,10,test,natural,NatTest,4.33,4,0.0000165,line,2,9.549805,2.256520735
15,cping,K P IH NG,32,test,natural,NatTest,4.33,4,0.0000165,line,2,33,3.496507561
16,cping,K P IH NG,65,test,natural,NatTest,4.33,4,0.0000165,line,2,6.543705,1.878503519
17,cping,K P IH NG,14,test,natural,NatTest,4.33,4,0.0000165,line,2,44.75868,3.801285392
18,cping,K P IH NG,78,test,natural,NatTest,4.33,4,0.0000165,line,2,23.44947,3.154847893
19,cping,K P IH NG,75,test,natural,NatTest,4.33,4,0.0000165,line,1,24.09155,3.181861157
20,cping,K P IH NG,73,test,natural,NatTest,4.33,4,0.0000165,line,2,55.5625,4.017508513
21,cping,K P IH NG,66,test,natural,NatTest,4.33,4,0.0000165,line,2,22.78931,3.126291566
22,cping,K P IH NG,55,test,natural,NatTest,4.33,4,0.0000165,line,2,100.9241,4.614368749
23,cping,K P IH NG,63,test,natural,NatTest,4.33,4,0.0000165,line,2,53.39209,3.977662608
24,cping,K P IH NG,18,test,natural,NatTest,4.33,4,0.0000165,line,2,45.57861,3.819438528
25,cping,K P IH NG,33,test,natural,NatTest,4.33,4,0.0000165,line,2,20.18481,3.004930341
26,cping,K P IH NG,60,test,natural,NatTest,4.33,4,0.0000165,line,1,16.27808,2.789819418
27,cping,K P IH NG,61,test,natural,NatTest,4.33,4,0.0000165,line,2,41.67902,3.729997885
28,cping,K P IH NG,55,test,natural,NatTest,4.33,4,0.0000165,line,2,66.42731,4.196108267
29,cping,K P IH NG,69,test,natural,NatTest,4.33,4,0.0000165,line,2,6.999363,1.945819145
1,ctice,K T AY S,25,test,natural,NatTest,4.33,4,0.00000502,line,2,101.5455,4.620506974
2,ctice,K T AY S,55,test,natural,NatTest,4.33,4,0.00000502,line,1,11.06909,2.404156539
3,ctice,K T AY S,58,test,natural,NatTest,4.33,4,0.00000502,line,2,47.08011,3.851850619
4,ctice,K T AY S,70,test,natural,NatTest,4.33,4,0.00000502,line,1,13.02246,2.566675559
5,ctice,K T AY S,50,test,natural,NatTest,4.33,4,0.00000502,line,2,24.74268,3.208529688
6,ctice,K T AY S,78,test,natural,NatTest,4.33,4,0.00000502,line,1,19.53369,2.972140667
7,ctice,K T AY S,2,test,natural,NatTest,4.33,4,0.00000502,line,2,34.72656,3.547504812
8,ctice,K T AY S,9,test,natural,NatTest,4.33,4,0.00000502,line,2,28.02856,3.33322399
9,ctice,K T AY S,24,test,natural,NatTest,4.33,4,0.00000502,line,1,59.2665,4.082044222
10,ctice,K T AY S,45,test,natural,NatTest,4.33,4,0.00000502,line,1,14.68262,2.686664481
11,ctice,K T AY S,21,test,natural,NatTest,4.33,4,0.00000502,line,1,77.94566,4.356011917
12,ctice,K T AY S,21,test,natural,NatTest,4.33,4,0.00000502,line,2,37.78758,3.631980477
13,ctice,K T AY S,78,test,natural,NatTest,4.33,4,0.00000502,line,2,18.89379,2.938833297
14,ctice,K T AY S,22,test,natural,NatTest,4.33,4,0.00000502,line,2,33.90289,3.523500261
15,ctice,K T AY S,36,test,natural,NatTest,4.33,4,0.00000502,line,2,27.75,3.32323584
16,ctice,K T AY S,21,test,natural,NatTest,4.33,4,0.00000502,line,2,6.51123,1.873528378
17,ctice,K T AY S,69,test,natural,NatTest,4.33,4,0.00000502,line,2,38.58507,3.652865414
18,ctice,K T AY S,70,test,natural,NatTest,4.33,4,0.00000502,line,2,11.08823,2.405884185
19,ctice,K T AY S,2,test,natural,NatTest,4.33,4,0.00000502,line,1,17.58032,2.866780095
20,ctice,K T AY S,78,test,natural,NatTest,4.33,4,0.00000502,line,2,82.47559,4.412502371
21,ctice,K T AY S,63,test,natural,NatTest,4.33,4,0.00000502,line,2,27.35492,3.308896403
22,ctice,K T AY S,6,test,natural,NatTest,4.33,4,0.00000502,line,2,71.63537,4.271588946
23,ctice,K T AY S,12,test,natural,NatTest,4.33,4,0.00000502,line,2,29.95166,3.399584749
24,ctice,K T AY S,71,test,natural,NatTest,4.33,4,0.00000502,line,2,24.12672,3.18331994
25,ctice,K T AY S,74,test,natural,NatTest,4.33,4,0.00000502,line,2,14.32471,2.661986018
26,ctice,K T AY S,66,test,natural,NatTest,4.33,4,0.00000502,line,1,26.04492,3.25982274
27,ctice,K T AY S,37,test,natural,NatTest,4.33,4,0.00000502,line,2,20.07907,2.999677979
28,ctice,K T AY S,57,test,natural,NatTest,4.33,4,0.00000502,line,2,112.6443,4.724235066
29,ctice,K T AY S,79,test,natural,NatTest,4.33,4,0.00000502,line,2,12.18526,2.500227025
1,esger,EH S G ER,34,test,natural,NatTest,3.138,3,0.000000479,line,2,67.7168,4.215334303
2,esger,EH S G ER,14,test,natural,NatTest,3.138,3,0.000000479,line,1,75.53027,4.324533503
3,esger,EH S G ER,73,test,natural,NatTest,3.138,3,0.000000479,line,2,154.3885,5.039472153
4,esger,EH S G ER,3,test,natural,NatTest,3.138,3,0.000000479,line,1,371.1401,5.916579619
5,esger,EH S G ER,4,test,natural,NatTest,3.138,3,0.000000479,line,2,31.25391,3.442144488
6,esger,EH S G ER,34,test,natural,NatTest,3.138,3,0.000000479,line,1,113.2954,4.729998567
7,esger,EH S G ER,1,test,natural,NatTest,3.138,3,0.000000479,line,2,48.62494,3.884136568
8,esger,EH S G ER,58,test,natural,NatTest,3.138,3,0.000000479,line,2,128.9289,4.85926109
9,esger,EH S G ER,69,test,natural,NatTest,3.138,3,0.000000479,line,1,119.184,4.780668517
10,esger,EH S G ER,69,test,natural,NatTest,3.138,3,0.000000479,line,1,68.68142,4.229478711
11,esger,EH S G ER,19,test,natural,NatTest,3.138,3,0.000000479,line,1,110.3641,4.7037849
12,esger,EH S G ER,42,test,natural,NatTest,3.138,3,0.000000479,line,2,54.14118,3.991595079
13,esger,EH S G ER,41,test,natural,NatTest,3.138,3,0.000000479,line,2,96.36842,4.568178555
14,esger,EH S G ER,9,test,natural,NatTest,3.138,3,0.000000479,line,2,26.92709,3.293132843
15,esger,EH S G ER,69,test,natural,NatTest,3.138,3,0.000000479,line,2,97.51154,4.57997073
16,esger,EH S G ER,25,test,natural,NatTest,3.138,3,0.000000479,line,2,360.7369,5.888148884
17,esger,EH S G ER,30,test,natural,NatTest,3.138,3,0.000000479,line,2,65.59916,4.183562891
18,esger,EH S G ER,29,test,natural,NatTest,3.138,3,0.000000479,line,2,91.81066,4.519728413
19,esger,EH S G ER,3,test,natural,NatTest,3.138,3,0.000000479,line,1,65.77632,4.186259895
20,esger,EH S G ER,24,test,natural,NatTest,3.138,3,0.000000479,line,2,281.2865,5.639373723
21,esger,EH S G ER,21,test,natural,NatTest,3.138,3,0.000000479,line,2,213.5684,5.363957156
22,esger,EH S G ER,23,test,natural,NatTest,3.138,3,0.000000479,line,2,122.4181,4.807442235
23,esger,EH S G ER,75,test,natural,NatTest,3.138,3,0.000000479,line,2,80.08813,4.383127653
24,esger,EH S G ER,51,test,natural,NatTest,3.138,3,0.000000479,line,2,82.0415,4.407225217
25,esger,EH S G ER,4,test,natural,NatTest,3.138,3,0.000000479,line,2,11.72021,2.461314702
26,esger,EH S G ER,30,test,natural,NatTest,3.138,3,0.000000479,line,1,288.4482,5.66451552
27,esger,EH S G ER,66,test,natural,NatTest,3.138,3,0.000000479,line,2,276.2734,5.621390955
28,esger,EH S G ER,29,test,natural,NatTest,3.138,3,0.000000479,line,2,106.7921,4.670883954
29,esger,EH S G ER,14,test,natural,NatTest,3.138,3,0.000000479,line,2,61.7374,4.122889906
1,hlup,HH L AH P,60,test,natural,NatTest,4.273,4,0.000000374,line,2,62.53193,4.135677306
2,hlup,HH L AH P,24,test,natural,NatTest,4.273,4,0.000000374,line,1,29.95166,3.399584749
3,hlup,HH L AH P,69,test,natural,NatTest,4.273,4,0.000000374,line,2,58.66961,4.071921876
4,hlup,HH L AH P,34,test,natural,NatTest,4.273,4,0.000000374,line,1,13.02246,2.566675559
5,hlup,HH L AH P,16,test,natural,NatTest,4.273,4,0.000000374,line,2,16.9292,2.829039942
6,hlup,HH L AH P,3,test,natural,NatTest,4.273,4,0.000000374,line,1,32.55615,3.482966291
7,hlup,HH L AH P,34,test,natural,NatTest,4.273,4,0.000000374,line,2,123.2915,4.81455147
8,hlup,HH L AH P,45,test,natural,NatTest,4.273,4,0.000000374,line,2,9.115723,2.210000725
9,hlup,HH L AH P,28,test,natural,NatTest,4.273,4,0.000000374,line,1,87.90402,4.476245537
10,hlup,HH L AH P,80,test,natural,NatTest,4.273,4,0.000000374,line,1,13.11892,2.574055463
11,hlup,HH L AH P,28,test,natural,NatTest,4.273,4,0.000000374,line,1,83.34732,4.423016455
12,hlup,HH L AH P,55,test,natural,NatTest,4.273,4,0.000000374,line,2,239.6274,5.479085217
13,hlup,HH L AH P,18,test,natural,NatTest,4.273,4,0.000000374,line,2,50.79177,3.927734334
14,hlup,HH L AH P,24,test,natural,NatTest,4.273,4,0.000000374,line,2,22.57227,3.116722162
15,hlup,HH L AH P,74,test,natural,NatTest,4.273,4,0.000000374,line,2,45.75,3.823191792
16,hlup,HH L AH P,49,test,natural,NatTest,4.273,4,0.000000374,line,2,11.72021,2.461314702
17,hlup,HH L AH P,65,test,natural,NatTest,4.273,4,0.000000374,line,2,83.34732,4.423016455
18,hlup,HH L AH P,76,test,natural,NatTest,4.273,4,0.000000374,line,2,14.3395,2.663017967
19,hlup,HH L AH P,45,test,natural,NatTest,4.273,4,0.000000374,line,1,41.71763,3.730923821
20,hlup,HH L AH P,68,test,natural,NatTest,4.273,4,0.000000374,line,2,72.05762,4.277466077
21,hlup,HH L AH P,64,test,natural,NatTest,4.273,4,0.000000374,line,2,22.13818,3.09730372
22,hlup,HH L AH P,35,test,natural,NatTest,4.273,4,0.000000374,line,2,144.5508,4.973631003
23,hlup,HH L AH P,39,test,natural,NatTest,4.273,4,0.000000374,line,2,39.08908,3.665843144
24,hlup,HH L AH P,47,test,natural,NatTest,4.273,4,0.000000374,line,2,88.55513,4.483625296
25,hlup,HH L AH P,26,test,natural,NatTest,4.273,4,0.000000374,line,2,24.75124,3.208875589
26,hlup,HH L AH P,75,test,natural,NatTest,4.273,4,0.000000374,line,1,95.06396,4.554549928
27,hlup,HH L AH P,47,test,natural,NatTest,4.273,4,0.000000374,line,2,13.11892,2.574055463
28,hlup,HH L AH P,46,test,natural,NatTest,4.273,4,0.000000374,line,2,30.60278,3.421090855
29,hlup,HH L AH P,4,test,natural,NatTest,4.273,4,0.000000374,line,2,58.17347,4.063429409
1,hmit,HH M IH T,57,test,natural,NatTest,4.273,4,0.00000297,line,2,47.0093,3.850345454
2,hmit,HH M IH T,79,test,natural,NatTest,4.273,4,0.00000297,line,1,7.162354,1.968838698
3,hmit,HH M IH T,65,test,natural,NatTest,4.273,4,0.00000297,line,2,12.46722,2.5231028
4,hmit,HH M IH T,7,test,natural,NatTest,4.273,4,0.00000297,line,1,13.67358,2.615465504
5,hmit,HH M IH T,79,test,natural,NatTest,4.273,4,0.00000297,line,2,25.3938,3.23450505
6,hmit,HH M IH T,37,test,natural,NatTest,4.273,4,0.00000297,line,1,42.97905,3.760712788
7,hmit,HH M IH T,67,test,natural,NatTest,4.273,4,0.00000297,line,2,30.39814,3.414381422
8,hmit,HH M IH T,72,test,natural,NatTest,4.273,4,0.00000297,line,2,24.74268,3.208529688
9,hmit,HH M IH T,5,test,natural,NatTest,4.273,4,0.00000297,line,1,117.8551,4.769455904
10,hmit,HH M IH T,39,test,natural,NatTest,4.273,4,0.00000297,line,1,13.89063,2.631214512
11,hmit,HH M IH T,71,test,natural,NatTest,4.273,4,0.00000297,line,1,18.5369,2.91976334
12,hmit,HH M IH T,49,test,natural,NatTest,4.273,4,0.00000297,line,2,216.1768,5.376096591
13,hmit,HH M IH T,32,test,natural,NatTest,4.273,4,0.00000297,line,2,15.64051,2.749864343
14,hmit,HH M IH T,52,test,natural,NatTest,4.273,4,0.00000297,line,2,4.34082,1.46806327
15,hmit,HH M IH T,8,test,natural,NatTest,4.273,4,0.00000297,line,2,62.25,4.131158535
16,hmit,HH M IH T,43,test,natural,NatTest,4.273,4,0.00000297,line,2,14.45728,2.671198094
17,hmit,HH M IH T,48,test,natural,NatTest,4.273,4,0.00000297,line,2,26.24919,3.267635131
18,hmit,HH M IH T,57,test,natural,NatTest,4.273,4,0.00000297,line,2,11.06909,2.404156539
19,hmit,HH M IH T,80,test,natural,NatTest,4.273,4,0.00000297,line,1,16.9292,2.829039942
20,hmit,HH M IH T,58,test,natural,NatTest,4.273,4,0.00000297,line,2,60.77149,4.107120765
21,hmit,HH M IH T,24,test,natural,NatTest,4.273,4,0.00000297,line,2,7.813477,2.055850063
22,hmit,HH M IH T,48,test,natural,NatTest,4.273,4,0.00000297,line,2,106.1331,4.664693967
23,hmit,HH M IH T,43,test,natural,NatTest,4.273,4,0.00000297,line,2,38.41626,3.648480807
24,hmit,HH M IH T,6,test,natural,NatTest,4.273,4,0.00000297,line,2,24.77692,3.209912575
25,hmit,HH M IH T,14,test,natural,NatTest,4.273,4,0.00000297,line,2,39.07281,3.665426829
26,hmit,HH M IH T,1,test,natural,NatTest,4.273,4,0.00000297,line,1,381.5581,5.944263133
27,hmit,HH M IH T,50,test,natural,NatTest,4.273,4,0.00000297,line,2,58.65438,4.071662253
28,hmit,HH M IH T,60,test,natural,NatTest,4.273,4,0.00000297,line,2,112.9619,4.727050594
29,hmit,HH M IH T,68,test,natural,NatTest,4.273,4,0.00000297,line,2,10.7386,2.373844727
1,jouy,JH AW Y,53,test,natural,NatTest,4.648,5,0.000000754,line,2,162.4604,5.09043428
2,jouy,JH AW Y,63,test,natural,NatTest,4.648,5,0.000000754,line,1,38.41626,3.648480807
3,jouy,JH AW Y,30,test,natural,NatTest,4.648,5,0.000000754,line,2,55.58393,4.017894131
4,jouy,JH AW Y,74,test,natural,NatTest,4.648,5,0.000000754,line,1,14.32471,2.661986018
5,jouy,JH AW Y,52,test,natural,NatTest,4.648,5,0.000000754,line,2,47.53198,3.861402748
6,jouy,JH AW Y,18,test,natural,NatTest,4.648,5,0.000000754,line,1,61.20557,4.114238198
7,jouy,JH AW Y,35,test,natural,NatTest,4.648,5,0.000000754,line,2,186.6553,5.2292636
8,jouy,JH AW Y,30,test,natural,NatTest,4.648,5,0.000000754,line,2,177.7578,5.18042195
9,jouy,JH AW Y,42,test,natural,NatTest,4.648,5,0.000000754,line,1,74.89047,4.316026646
10,jouy,JH AW Y,36,test,natural,NatTest,4.648,5,0.000000754,line,1,23.93519,3.175349761
11,jouy,JH AW Y,25,test,natural,NatTest,4.648,5,0.000000754,line,1,98.78079,4.592903153
12,jouy,JH AW Y,65,test,natural,NatTest,4.648,5,0.000000754,line,2,33.88343,3.522926104
13,jouy,JH AW Y,20,test,natural,NatTest,4.648,5,0.000000754,line,2,26.04492,3.25982274
14,jouy,JH AW Y,2,test,natural,NatTest,4.648,5,0.000000754,line,2,110.4242,4.704329313
15,jouy,JH AW Y,46,test,natural,NatTest,4.648,5,0.000000754,line,2,46.5,3.839452313
16,jouy,JH AW Y,71,test,natural,NatTest,4.648,5,0.000000754,line,2,5.369298,1.680697174
17,jouy,JH AW Y,35,test,natural,NatTest,4.648,5,0.000000754,line,2,87.20567,4.468269352
18,jouy,JH AW Y,21,test,natural,NatTest,4.648,5,0.000000754,line,2,31.90503,3.462763678
19,jouy,JH AW Y,35,test,natural,NatTest,4.648,5,0.000000754,line,1,26.69604,3.28451524
20,jouy,JH AW Y,16,test,natural,NatTest,4.648,5,0.000000754,line,2,75.53027,4.324533503
21,jouy,JH AW Y,41,test,natural,NatTest,4.648,5,0.000000754,line,2,99.62183,4.601381317
22,jouy,JH AW Y,41,test,natural,NatTest,4.648,5,0.000000754,line,2,108.7395,4.688955114
23,jouy,JH AW Y,80,test,natural,NatTest,4.648,5,0.000000754,line,2,14.97583,2.706437568
24,jouy,JH AW Y,54,test,natural,NatTest,4.648,5,0.000000754,line,2,14.32471,2.661986018
25,jouy,JH AW Y,39,test,natural,NatTest,4.648,5,0.000000754,line,2,22.82648,3.127921266
26,jouy,JH AW Y,41,test,natural,NatTest,4.648,5,0.000000754,line,1,91.80835,4.519703252
27,jouy,JH AW Y,54,test,natural,NatTest,4.648,5,0.000000754,line,2,21.62141,3.073684027
28,jouy,JH AW Y,63,test,natural,NatTest,4.648,5,0.000000754,line,2,27.99829,3.332143437
29,jouy,JH AW Y,39,test,natural,NatTest,4.648,5,0.000000754,line,2,33.95842,3.525136835
1,kipl,K IH P L,43,test,natural,NatTest,4.538,5,0.000021,line,2,68.7222,4.230072291
2,kipl,K IH P L,4,test,natural,NatTest,4.538,5,0.000021,line,1,102.2263,4.627188983
3,kipl,K IH P L,11,test,natural,NatTest,4.538,5,0.000021,line,2,87.20226,4.468230248
4,kipl,K IH P L,31,test,natural,NatTest,4.538,5,0.000021,line,1,13.67358,2.615465504
5,kipl,K IH P L,29,test,natural,NatTest,4.538,5,0.000021,line,2,20.84611,3.03716736
6,kipl,K IH P L,28,test,natural,NatTest,4.538,5,0.000021,line,1,27.35492,3.308896403
7,kipl,K IH P L,51,test,natural,NatTest,4.538,5,0.000021,line,2,87.68887,4.473794981
8,kipl,K IH P L,59,test,natural,NatTest,4.538,5,0.000021,line,2,37.11401,3.613994526
9,kipl,K IH P L,36,test,natural,NatTest,4.538,5,0.000021,line,1,568.4338,6.34288486
10,kipl,K IH P L,51,test,natural,NatTest,4.538,5,0.000021,line,1,21.62141,3.073684027
11,kipl,K IH P L,32,test,natural,NatTest,4.538,5,0.000021,line,1,70.22482,4.25170181
12,kipl,K IH P L,51,test,natural,NatTest,4.538,5,0.000021,line,2,14.3395,2.663017967
13,kipl,K IH P L,61,test,natural,NatTest,4.538,5,0.000021,line,2,23.44947,3.154847893
14,kipl,K IH P L,42,test,natural,NatTest,4.538,5,0.000021,line,2,174.5031,5.161942507
15,kipl,K IH P L,3,test,natural,NatTest,4.538,5,0.000021,line,2,92.25,4.524502283
16,kipl,K IH P L,29,test,natural,NatTest,4.538,5,0.000021,line,2,18.88257,2.938239274
17,kipl,K IH P L,66,test,natural,NatTest,4.538,5,0.000021,line,2,36.26997,3.590990126
18,kipl,K IH P L,42,test,natural,NatTest,4.538,5,0.000021,line,2,43.01849,3.761630023
19,kipl,K IH P L,58,test,natural,NatTest,4.538,5,0.000021,line,1,41.04142,3.714581801
20,kipl,K IH P L,60,test,natural,NatTest,4.538,5,0.000021,line,2,72.92578,4.289442212
21,kipl,K IH P L,77,test,natural,NatTest,4.538,5,0.000021,line,2,15.64051,2.749864343
22,kipl,K IH P L,60,test,natural,NatTest,4.538,5,0.000021,line,2,121.7617,4.802065856
23,kipl,K IH P L,11,test,natural,NatTest,4.538,5,0.000021,line,2,41.02592,3.714204062
24,kipl,K IH P L,9,test,natural,NatTest,4.538,5,0.000021,line,2,92.46176,4.526795154
25,kipl,K IH P L,49,test,natural,NatTest,4.538,5,0.000021,line,2,29.95874,3.399821102
26,kipl,K IH P L,45,test,natural,NatTest,4.538,5,0.000021,line,1,147.1538,4.991478298
27,kipl,K IH P L,64,test,natural,NatTest,4.538,5,0.000021,line,2,54.0191,3.989337688
28,kipl,K IH P L,37,test,natural,NatTest,4.538,5,0.000021,line,2,50.1407,3.914833054
29,kipl,K IH P L,57,test,natural,NatTest,4.538,5,0.000021,line,2,47.82,3.867443962
1,pneck,P N EH K,51,test,natural,NatTest,4.21,4,0.00000787,line,2,56.53075,4.034784738
