word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
B L IY G IH F,6,-21.285602250970626,-21.285473214730153,-21.364756874304696,-21.36471594594534,-23.544155163633754,-23.169248542160226,-23.554561816439286,-23.17280447123044,1.1974584339029302,1.194875359738716,1.1973661131547024,1.1948545091186444,1.0092144704786863,1.009926563101143,1.0086908110020265,1.0097643455375225
B L EH Z IH G,6,-21.89701032444915,-21.89653607492678,-21.962857251164507,-21.962722773568373,-22.108940830164073,-21.749738962782555,-22.154995986872514,-21.763151995503645,1.1952574776234284,1.192459595514065,1.19517585415709,1.1924430374034118,1.0109573221810333,1.0114525903487885,1.0103302915230126,1.0112771907838183
B R IY G IH F,6,-21.26431799054181,-21.26419238584528,-21.312930225766067,-21.312891435324907,-21.717070482393915,-21.478275045681897,-21.733443644439657,-21.483093695348042,1.2425695199523268,1.242020694077704,1.2423782101557714,1.241974415977271,1.0191783063126734,1.0197317506161199,1.0178605054737606,1.0193646945968307
B R EH P IH D,6,-19.850933991550622,-19.85144946055788,-19.783285054092342,-19.7834224320295,-18.552924180872083,-18.56171280234346,-18.59320273298371,-18.57196354645545,1.2993980849443751,1.3031342107247048,1.2990297316047936,1.303038540934027,1.024876432159332,1.0252098081566117,1.0228372525761058,1.0246451736966902
B W IY G IH F,6,-23.465058633510914,-23.463652671554456,-23.442729822304702,-23.44239312830102,-inf,-inf,-28.04733272023042,-29.078973526984047,1.1630612307902652,1.160326334358654,1.1630443891913873,1.1603241174947465,1.003319635733587,1.0037541478670673,1.0032638682435235,1.0037200246760158
B W AA S IH P,6,-21.826161454220728,-21.82539076932952,-21.76996195745743,-21.769791863019037,-inf,-inf,-24.607419363179332,-25.97292211163369,1.2014643994972958,1.196045179648568,1.2013519165423598,1.196020698279804,1.0105758827111375,1.009636248377883,1.0098645552468675,1.0094615657105845
D G EH P IH D,6,-20.911943163116522,-20.912060329392325,-20.85977901050486,-20.859809974205202,-inf,-inf,-25.654632911623974,-26.834245427113423,1.2273267691579255,1.2285538770682267,1.2271165786782854,1.2284984377489698,1.009247001078211,1.00890014609606,1.0084514745973183,1.0086754396844584
D G AA T IH F,6,-21.14460859892499,-21.144493165333117,-21.173169206708817,-21.173133456730042,-inf,-inf,-25.60810041517068,-26.97619781062557,1.2427745732645952,1.2436752552933683,1.2425623020578689,1.2436207588344144,1.016322969602377,1.0162012832646283,1.0149207344254338,1.0157980785142553
D N IY G IH F,6,-20.55196505801937,-20.55203056395386,-20.58159249519885,-20.58160607280788,-28.412025757479626,-28.23944136495526,-28.016940308810685,-28.12846973003207,1.2190490105265401,1.2139488476913518,1.2189093266266637,1.21391771606064,1.0026892271141818,1.003103358308283,1.002684005302037,1.0030829447649758
D N AA T IH F,6,-19.371246494836655,-19.37172047460725,-19.36533751972909,-19.365460552037312,-26.0738902636921,-26.00541634925091,-25.70216705013252,-25.90032767582339,1.291325379625258,1.290183742563494,1.2910065714552694,1.2901041621028406,1.0171253078452562,1.0168284350058872,1.0156587418055076,1.0164120185662069
D R IY G IH F,6,-20.832040095349786,-20.832066635304436,-20.836341142931442,-20.836345681852297,-22.459705122237587,-22.26135110613433,-22.4675151237596,-22.263753245277186,1.2538409356421374,1.2531557461940166,1.2536249064387381,1.2531034686184157,1.0153438639984746,1.016153372921603,1.0143289552270713,1.015860074116634
D R EH P IH D,6,-19.4186560963586,-19.419323710017036,-19.30669597125772,-19.30687667855689,-19.29555882071575,-19.34478886279589,-19.32727421230365,-19.352623096384594,1.3106695006341857,1.3142692628410173,1.3102764278877603,1.3141675935751718,1.0210419898451333,1.0216314304620948,1.0193057023294165,1.0211405532164934
