ID,response,word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
9871944,73,b i t͡ʃ ø z,5,-19.756398366120063,-19.75481765376335,,,-16.19975610039546,,-16.23976513062291,,1.1837400183652915,,1.1836997124750908,,1.0128196585784826,,1.0123617470711583,
9871944,29,d͡ʒ y b a ʒ,5,-20.242830063624115,-20.23767596274181,,,-19.67879062473088,,-19.79752495934659,,1.3058041354405645,,1.3055414123656015,,1.0127232269111113,,1.01223747830455,
9871944,26,t͡ʃ e ʒ ø z,5,-22.14933769066073,-22.14309648034791,,,-19.18578744927172,,-19.077176117348685,,1.222407977281713,,1.2223008694112456,,1.00686107453606,,1.0067163101005072,
9871944,72,m y d͡ʒ u z,5,-18.768087972695568,-18.76747515885904,,,-15.447888818271592,,-15.47911401039972,,1.2404912354404627,,1.2403491166587477,,1.0319024111948645,,1.0304219098064595,
9871944,29,b i ɟ i ʒ,5,-23.15230334260776,-23.12859492753643,,,-24.915909991588407,,-24.35353692250794,,1.266203336252664,,1.2660164134332708,,1.012035144436651,,1.0116199754960176,
9871944,24,ɟ ø t͡ʃ e ʒ,5,-25.895838414443286,-25.87064175996564,,,-50.0,,-26.01302387459999,,1.140043237235324,,1.1400750278451808,,1.0022924360788037,,1.0023829981607115,
9871944,32,g ɯ ʒ u ʒ,5,-24.04112686624343,-24.03110664696436,,,-50.0,,-24.742720107269367,,1.1331254198362304,,1.1331750499516993,,1.0024913344887347,,1.002578336813267,
9871944,29,b o p ɯ z,5,-18.80572539465341,-18.80519115243152,,,-15.575160863623148,,-15.6123249065678,,1.2287916059057706,,1.228668657107823,,1.014936867151038,,1.014349109888668,
9871944,34,b o p o ʒ,5,-21.602409734503315,-21.597154077744573,,,-17.33475181640033,,-17.45672173398626,,1.180862690747296,,1.1808313744606571,,1.012965315438448,,1.01249501576141,
9871944,29,b o ʒ u ɾ,5,-20.188385139391087,-20.18353389150702,,,-16.322503633728758,,-16.394241238881506,,1.250175714529859,,1.249996348711549,,1.0147786024753525,,1.0141465127170373,
9871944,31,z a ʒ o ʒ,5,-22.39965586755501,-22.390040433032706,,,-21.87536781165056,,-21.90077854150801,,1.3043020941229309,,1.3040574801062963,,1.0045825459876734,,1.004557699117261,
9871944,70,l i l e h,5,-18.919528331099237,-18.9178451377934,,,-28.0860697294688,,-27.46035835823068,,1.2245450186213964,,1.2244264214977632,,1.0031029632868411,,1.0031441439625928,
9871944,32,g ɯ d͡ʒ i n,5,-17.765150906217194,-17.76460773559338,,,-14.572887378272108,,-14.613885458742647,,1.288193771309351,,1.2879431620866866,,1.019118781821044,,1.0181985618821732,
9871944,76,t i s ø ɾ,5,-16.6433666420812,-16.642761164473942,,,-15.288823083741889,,-15.32336104232457,,1.2934630318516254,,1.2932118263382686,,1.009196713442622,,1.0089195099707884,
9871944,27,h y ʒ o ʒ,5,-24.26036702153048,-24.250405801598948,,,-23.09409359618359,,-22.95584708161437,,1.1385613608532974,,1.1386035176599465,,1.0022002270881678,,1.0023005246401142,
9871944,25,z a ʒ ɯ ʒ,5,-21.998094155474003,-21.988599475224262,,,-50.0,,-26.305727027014363,,1.3354719613518329,,1.3351706136026844,,1.0043869150779896,,1.0043743138247614,
9871944,28,b ø t͡ʃ u ʒ,5,-23.04040938456597,-23.03404959933101,,,-22.79008801093924,,-22.657649428790645,,1.141361768943645,,1.1413970478706803,,1.0020862604454976,,1.0021930802819217,
9871944,27,ɫ o h u v,5,-18.593599295416848,-18.593027355857053,,,-24.06238500170176,,-23.99927255278523,,1.1612070751754773,,1.1612039662326097,,1.0043702249837334,,1.004350345813558,
9871944,75,s ø ɾ u ɾ,5,-17.419868282345767,-17.419101270870925,,,-15.476373057880078,,-15.513651402105268,,1.3518503805959323,,1.3514935705505449,,1.0191373454814323,,1.0182579368786828,
9871944,23,d͡ʒ o c i c,5,-23.871817361041813,-23.859305221585515,,,-50.0,,-30.898696726610687,,1.1985751556303774,,1.1985054370150776,,1.000922153764827,,1.0010883145531615,
9872129,69,n e m ø h,5,-17.63893282018263,-17.638029828961074,,,-23.558108707134007,,-23.245886540663424,,1.2573677552147065,,1.2572013402029647,,1.0157239137890697,,1.015111998046541,
9872129,79,s ø ɾ ø ɾ,5,-18.916248108852137,-18.914431816525905,,,-17.736643428071496,,-17.750937164122824,,1.311449218136533,,1.3111659441356651,,1.006315849424642,,1.0061905369137407,
9872129,33,l i g a v,5,-18.317025751495315,-18.315638235122417,,,-24.90199012797349,,-24.64460050717379,,1.3020095605246391,,1.3017497711993005,,1.0094632673533137,,1.0091216418905589,
9872129,56,v ø l i c,5,-23.521629066683385,-23.51331185716321,,,-50.0,,-33.25997944794797,,1.1642026037351003,,1.1641922265701674,,1.0003260515161396,,1.0005235520380404,
9872129,87,ɫ o h e s,5,-16.45817250086749,-16.45822851680418,,,-21.317120361286086,,-21.272071082039435,,1.2426762924026875,,1.24252019486607,,1.009570595243294,,1.0092260466145833,
9872129,95,ɟ ø t͡ʃ e ʒ,5,-25.895838414443286,-25.87064175996564,,,-50.0,,-26.01302387459999,,1.140043237235324,,1.1400750278451808,,1.0022924360788037,,1.0023829981607115,
9872129,99,h a c i z,5,-19.17393398541818,-19.167827893101165,,,-50.0,,-21.131318076779458,,1.44361829462378,,1.4431184887150887,,1.029014126217107,,1.027660226668782,
9872129,99,b o z y z,5,-19.26283358646827,-19.262161297178977,,,-16.006298136958325,,-16.038972563588715,,1.2096753412240209,,1.2095880258287266,,1.011931948070003,,1.0115128583515274,
9872129,78,ʃ e z u ʒ,5,-20.413361161166105,-20.40831052473003,,,-21.30607077641668,,-21.23961045572301,,1.274892670609532,,1.2746965965867414,,1.0140542779889286,,1.0135267325647053,
9872129,28,n ɯ ʒ ɯ ʒ,5,-22.41481628019461,-22.405420821058904,,,-50.0,,-30.786845680157285,,1.1290677347665397,,1.129123492209685,,1.0003249566724437,,1.0005257916572736,
9872129,36,b ɯ d a ʒ,5,-19.12602055601626,-19.12132215130753,,,-20.08567575275351,,-20.17911549471616,,1.3411283852127902,,1.3408045259119057,,1.0103448182681387,,1.0099894506104767,
9872129,26,t͡ʃ e ʒ ø z,5,-22.14933769066073,-22.14309648034791,,,-19.18578744927172,,-19.077176117348685,,1.222407977281713,,1.2223008694112456,,1.00686107453606,,1.0067163101005072,
9872129,40,h y ʒ o ʒ,5,-24.26036702153048,-24.250405801598948,,,-23.09409359618359,,-22.95584708161437,,1.1385613608532974,,1.1386035176599465,,1.0022002270881678,,1.0023005246401142,
9872129,32,b ø t͡ʃ u ʒ,5,-23.04040938456597,-23.03404959933101,,,-22.79008801093924,,-22.657649428790645,,1.141361768943645,,1.1413970478706803,,1.0020862604454976,,1.0021930802819217,
9872129,63,b o ʒ u ɾ,5,-20.188385139391087,-20.18353389150702,,,-16.322503633728758,,-16.394241238881506,,1.250175714529859,,1.249996348711549,,1.0147786024753525,,1.0141465127170373,
9872129,39,n u ʒ ɯ h,5,-20.24619677932734,-20.241337991652617,,,-27.8107916591632,,-27.023579690957725,,1.1518762179262898,,1.1518883333637062,,1.0010090676384151,,1.0011719374015406,
9872129,76,g ɯ d͡ʒ u ɾ,5,-18.401954124401357,-18.401273225113115,,,-15.514694512570816,,-15.553988277275629,,1.2206968713441448,,1.2205683468578952,,1.0114276001889089,,1.0109684044339573,
9872129,82,n u g u v,5,-18.88780549394557,-18.88701302652874,,,-23.829955675252805,,-23.77692043460571,,1.1475726601589815,,1.147593398617559,,1.002664785337298,,1.0027359066125898,
9872129,65,g a ɟ i l,5,-21.711665732611312,-21.69151780880028,,,-21.848897140452937,,-21.63415311259603,,1.4234248610169082,,1.4229631257047886,,1.0082939096649637,,1.0080627500036243,
9872129,39,v e ɟ y ʒ,5,-24.678551245174877,-24.65430856866798,,,-25.32234222567088,,-24.826847868345496,,1.2138685991633609,,1.2137803225511092,,1.0052790884770466,,1.0052181146545902,
9872129,80,h a h a ʒ,5,-18.279717885936645,-18.274993861060448,,,-15.5480561905522,,-15.694802669418907,,1.5324850375176986,,1.5318300917569716,,1.049136449025569,,1.046733780370724,
9872129,100,b u h a ʒ,5,-19.63382263150912,-19.628946819287247,,,-16.589829009805186,,-16.73205715679298,,1.3523956399527486,,1.3520522834985491,,1.021610727156267,,1.0206577518516846,
9872129,83,b i m y ʒ,5,-19.745708670599832,-19.740938533484037,,,-17.144470810093683,,-17.12870059621924,,1.224775815843954,,1.224668160873623,,1.017560989647938,,1.0168496999823045,
9872129,84,g ɯ ɟ e ʒ,5,-24.30578124525424,-24.28160701356365,,,-50.0,,-24.815598505272497,,1.196280249113463,,1.1962148980539262,,1.002806683496261,,1.0028744767627225,
9872129,34,n u c i v,5,-20.14574766685337,-20.139492597213987,,,-50.0,,-28.879295751792085,,1.2126077521025955,,1.2125096911983495,,1.0022042581137438,,1.0022912535659585,
9872129,68,b e ʒ a v,5,-18.887323500746025,-18.882458836833287,,,-19.56906284531509,,-19.661279048791737,,1.441131755390738,,1.4406313873886738,,1.018474361069321,,1.01766664871558,
9872129,87,n y m ø s,5,-18.30486011833053,-18.303892942044392,,,-23.800973686763864,,-23.65109261672794,,1.1731956986207523,,1.1731689601736792,,1.0049036855497242,,1.0048624490342637,
9872129,95,ɫ a c y c,5,-22.026637500586897,-22.01461230055993,,,-50.0,,-27.84286977614221,,1.303338955612124,,1.3030961175258404,,1.0029370543066431,,1.0029999110352912,
9872129,66,n y n i v,5,-16.875155560146357,-16.87500671582728,,,-21.870278494630696,,-21.860137136995288,,1.2901878365226052,,1.2899547596023124,,1.015590305177985,,1.014953753172737,
9872129,35,ɟ e j o ʒ,5,-23.913791342449223,-23.88990644372476,,,-50.0,,-24.87491275380586,,1.2374689664526486,,1.2373395107029062,,1.0110946677328192,,1.010721436984636,
9872129,91,n u d͡ʒ o h,5,-18.585597379729464,-18.5850357702423,,,-24.726458930397825,,-24.61717125138857,,1.1330251122802943,,1.1330725118708005,,1.001474956791939,,1.001614712938203,
9872129,98,z a ʒ ɯ ʒ,5,-21.998094155474003,-21.988599475224262,,,-50.0,,-26.305727027014363,,1.3354719613518329,,1.3351706136026844,,1.0043869150779896,,1.0043743138247614,
9872129,25,ɟ i ʒ u ʒ,5,-26.63196638415128,-26.60339669963481,,,-29.991575100561576,,-29.47052707287037,,1.1312986116566484,,1.1313513771126087,,1.0003270467676877,,1.0005276672406118,
9872129,31,n ɯ c i v,5,-19.93088069637855,-19.92468420199566,,,-50.0,,-29.55229981701376,,1.201667544130325,,1.201588410921533,,1.0018247936466855,,1.0019317455664367,
9872129,97,k u t ø ɾ,5,-17.142589509814194,-17.141879998166225,,,-15.653402142063069,,-15.691176305475931,,1.32230203950961,,1.3220007996898406,,1.018129501377924,,1.0173831055756966,
9872129,30,t͡ʃ e ʒ u ʒ,5,-23.04808049192325,-23.03828790219756,,,-22.073070829734757,,-22.06130764515632,,1.2460500918115391,,1.2459043466753474,,1.0066654436263762,,1.0065329248080075,
9872129,83,t i k u ɾ,5,-14.757321292630818,-14.757839474448213,,,-13.776182245400546,,-13.797827878122703,,1.3425309336547508,,1.3421911014635628,,1.0178435286691223,,1.01704029300458,
9872129,75,s ø ɾ u ɾ,5,-17.419868282345767,-17.419101270870925,,,-15.476373057880078,,-15.513651402105268,,1.3518503805959323,,1.3514935705505449,,1.0191373454814323,,1.0182579368786828,
9872129,99,ɫ o m ø s,5,-18.19297547659577,-18.192049074546556,,,-23.7185910215694,,-23.576018053983702,,1.1580890131919466,,1.1580884043189272,,1.006369125718587,,1.0062507303895665,
9872129,92,ʃ o ʒ a v,5,-20.47724743734481,-20.47197821113629,,,-22.61856961138616,,-22.667019868719475,,1.288367615858368,,1.2881315117422223,,1.0061232207228026,,1.005964640548633,
9872129,100,n u l e ɾ,5,-16.7353899896315,-16.73486738355431,,,-21.8754485295826,,-21.502576488019884,,1.2814781732006866,,1.2812387575669788,,1.0164999980354623,,1.0157043429334207,
9872129,91,j a b u ʒ,5,-19.31027464586884,-19.30552819286247,,,-18.66177474584945,,-18.602207543248568,,1.3727688430545328,,1.3724036038051812,,1.029576112826616,,1.02823132533125,
9872129,100,ɫ a t a j,5,-13.539207723328191,-13.53980500216542,,,-16.70963205807083,,-16.722833062461532,,1.5581158667217818,,1.5574094336214954,,1.0364821239096451,,1.0346702629498348,
9872129,24,s ø ɾ ɯ ɾ,5,-17.20500131187094,-17.2042928756526,,,-15.07133366695696,,-15.108072623586152,,1.3616515088653494,,1.3612768593282027,,1.0224207245664567,,1.021344720223736,
9872129,82,g u h a n,5,-16.986187982608918,-16.98582453583135,,,-14.003209503389854,,-14.037361297492396,,1.393585672209114,,1.3931455531370758,,1.041008945259303,,1.0387823974648764,
9872129,34,t͡ʃ ø j o ʒ,5,-23.110844320056284,-23.10446410490708,,,-18.612897025047648,,-18.738353722963613,,1.1138647273701043,,1.1139491411652993,,1.0038353772712676,,1.0038463961880495,
9872129,78,b u ʒ u z,5,-21.183579400179205,-21.17846960404477,,,-19.10099770791221,,-18.99855357037276,,1.1919528697614603,,1.191894841679337,,1.0090301397771717,,1.008755156382551,
9872129,100,h ø ʃ a ʒ,5,-21.446707936005243,-21.4406412311413,,,-21.13827944442946,,-21.18485938345635,,1.2838250896845864,,1.2836003756660834,,1.0078943784157934,,1.007671292277256,
9872129,100,k u ɾ i n,5,-14.89701971471122,-14.897514091325462,,,-12.94195303395921,,-12.96493491685879,,1.5007331881655468,,1.5001135144861943,,1.0493627462694506,,1.0468268577985411,
9872129,15,n ɯ v ø c,5,-22.316148913561925,-22.30872472571367,,,-50.0,,-30.445293983702243,,1.1084544645079504,,1.1085503214476562,,1.001905682716268,,1.0020229522148367,
9872129,24,l y l i c,5,-22.910768313384416,-22.90286163132676,,,-50.0,,-32.397687831098054,,1.203960562382335,,1.203881391318237,,1.0008711294622858,,1.0010398142992691,
