ID,response,word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
9871892,4,b o j ɯ ʒ,5,-20.84349534209708,NA,-Inf,NA,-21.13094063982574,NA,1.2260955689867723,NA,1.2259830322796048,NA,1.015232344142505,NA,1.0146378960431903,NA
9871892,18,l i n u v,5,-18.466975061018218,NA,-24.951618240796765,NA,-24.684255423615568,NA,1.220141875184766,NA,1.220036316043871,NA,1.0121904544298916,NA,1.011755851703082,NA
9871892,10,b e j o ʒ,5,-19.97163859556905,NA,-16.470032923117923,NA,-16.58974983451702,NA,1.3023238820005048,NA,1.3020822690254312,NA,1.0234430212856789,NA,1.0224209443737986,NA
9871892,18,ɟ e j ø z,5,-22.82835379958052,NA,-Inf,NA,-24.81298284362385,NA,1.235195590882307,NA,1.2350658781575348,NA,1.009898018351088,NA,1.0095907634262449,NA
9871892,20,b i f e ʒ,5,-19.56510509226675,NA,-17.233656594746645,NA,-17.35991958085872,NA,1.2770233897314918,NA,1.276818171152988,NA,1.0171636142826754,NA,1.0164683141415962,NA
9871892,55,ɟ y d o n,5,-21.99388355485576,NA,-22.032124077243957,NA,-21.630787091891495,NA,1.1962433826356678,NA,1.196159913782388,NA,1.0079719201002924,NA,1.0077160801194214,NA
9871892,42,t͡ʃ ø z y z,5,-21.128620852346465,NA,-17.361344872511363,NA,-17.40089460771028,NA,1.1286143668362545,NA,1.1286672682108094,NA,1.004828700340673,NA,1.0047832706322961,NA
9871892,0,b o ʒ ɯ ʒ,5,-23.550529799079456,NA,-Inf,NA,-24.723680424475265,NA,1.1847241528742682,NA,1.1846836525864934,NA,1.0074750485138266,NA,1.007300128463721,NA
9871892,26,n y h e j,5,-16.95498764826872,NA,-21.846337471826367,NA,-21.825147364977283,NA,1.2480014323473068,NA,1.2478395741736754,NA,1.0076847714838688,NA,1.007454833667864,NA
9871892,23,g ɯ d͡ʒ e n,5,-17.56731557989134,NA,-14.61749184700327,NA,-14.657735297121354,NA,1.281298791538424,NA,1.2810607321907763,NA,1.019356759110327,NA,1.0184127138021122,NA
9871892,38,l e g a v,5,-18.119190425169464,NA,-25.71501109338958,NA,-25.332981685756884,NA,1.3881772381676205,NA,1.3877683698152172,NA,1.008863681612553,NA,1.0085537534032074,NA
9871892,60,k o ɾ i n,5,-15.0837144563174,NA,-13.072652771256037,NA,-13.096986467913933,NA,1.5004623909385104,NA,1.4998431857664714,NA,1.0494536476998977,NA,1.046913855195189,NA
9871892,25,t͡ʃ ø v e ʒ,5,-22.501198433327293,NA,-19.60154616634259,NA,-19.720161431862618,NA,1.1877047678623542,NA,1.187653908531909,NA,1.007255175976289,NA,1.0070775327862946,NA
9871892,22,n i ɾ o h,5,-16.181858470568148,NA,-20.449641425018715,NA,-20.406357405732297,NA,1.2804974089534673,NA,1.2802882607954402,NA,1.016507593530359,NA,1.015847513933592,NA
9871892,59,k u m y ɾ,5,-16.166729596387306,NA,-13.479655579943335,NA,-13.508482331190027,NA,1.3230272239563277,NA,1.3227231066743448,NA,1.022128398075403,NA,1.021137545740216,NA
9871892,4,z a ʒ u ʒ,5,-22.21296112594883,NA,-22.467527661364898,NA,-22.468435327208887,NA,1.3256708330824156,NA,1.3253873248250263,NA,1.0043869150779896,NA,1.0043743138247614,NA
9871892,46,b o v a n,5,-16.83581550168471,NA,-13.814124853759685,NA,-13.841845975944103,NA,1.4255332248977568,NA,1.4250378444168188,NA,1.0453074842543126,NA,1.042851145035386,NA
9871892,33,n u m ɯ s,5,-16.305931248897558,NA,-20.66468488363234,NA,-20.66177310337561,NA,1.2173321314639536,NA,1.2172245120444172,NA,1.0077581809890988,NA,1.0075488759046425,NA
9871892,24,m y d͡ʒ ɯ ʒ,5,-20.94834362998964,NA,-Inf,NA,-19.765604716524727,NA,1.2335333157803068,NA,1.2334082562856274,NA,1.0297916061850232,NA,1.0284411057530372,NA
9871892,34,ɫ a c ø c,5,-23.235335254641484,NA,-Inf,NA,-28.96719851740822,NA,1.2828819495149104,NA,1.2826763461817758,NA,1.0028718440034152,NA,1.002938782604458,NA
9871892,7,n ɯ m ɯ j,5,-16.47599478408919,NA,-22.39373489217684,NA,-22.38175273448392,NA,1.1966103780074966,NA,1.196542055220454,NA,1.0026502266538255,NA,1.0027197340448553,NA
9871892,81,m y ɾ a n,5,-14.762040699212914,NA,-11.737473004903014,NA,-11.76464541223868,NA,1.5705486452986173,NA,1.5698011900900524,NA,1.0909056910771144,NA,1.0860056224174448,NA
9871892,0,ɫ o t y j,5,-17.13637038757993,NA,-21.847842286805907,NA,-21.838930472337697,NA,1.1884962954554696,NA,1.1884444634754057,NA,1.0069809217299424,NA,1.0068236264270505,NA
9871892,1,v ɯ ʒ u ʒ,5,-23.911347823237456,NA,-Inf,NA,-27.172143925229605,NA,1.1161267190999808,NA,1.1162057460174144,NA,1.0002707972270364,NA,1.000474478028374,NA
9871892,0,h u h e c,5,-20.54912774061602,NA,-21.77039857112499,NA,-21.665991317549235,NA,1.2458994903446368,NA,1.2457482240849875,NA,1.009202924406593,NA,1.0089254532786238,NA
9871892,17,m y d͡ʒ e ʒ,5,-20.07648688346161,NA,-17.21604267519214,NA,-17.334930621591795,NA,1.2872685713504248,NA,1.2870457058049949,NA,1.0318759131224775,NA,1.030408550612966,NA
9871892,13,n ɯ l e ɾ,5,-16.520523019156673,NA,-22.578512005763056,NA,-22.1906184306061,NA,1.2705379652284161,NA,1.2703174772901622,NA,1.016447580336092,NA,1.015654592290636,NA
9871892,11,ɫ o c ø c,5,-24.98342292134455,NA,-Inf,NA,-31.079713775074197,NA,1.0811921748182034,NA,1.081335515731949,NA,1.0021125667200912,NA,1.0022194540081912,NA
9871892,8,v ɯ c y c,5,-24.665725338666142,NA,-Inf,NA,-31.07494453895137,NA,1.0966099130891953,NA,1.0967247419175363,NA,1.0003360075302643,NA,1.000535606459207,NA
9871892,54,n e l e s,5,-16.133712940143006,NA,-22.309363966878458,NA,-21.94511758334053,NA,1.3421106100147846,NA,1.3417826732353673,NA,1.0138487784772976,NA,1.0132823171708598,NA
9871892,61,k a k ɯ ɾ,5,-13.852944181894014,NA,-12.144674325482123,NA,-12.165544970347293,NA,1.5676549113274147,NA,1.5669247348407982,NA,1.081113994281714,NA,1.076949339812567,NA
9871892,58,b i h a z,5,-16.349811613063217,NA,-13.978638446451834,NA,-14.016391150784171,NA,1.3901143932549385,NA,1.3896998755559016,NA,1.0281388334347332,NA,1.0267959716117114,NA
9871892,20,ɫ a ʒ a ʒ,5,-19.71086706006132,NA,-20.997350540187433,NA,-21.21655733327964,NA,1.4708414018303289,NA,1.4702934062511663,NA,1.003941564890843,NA,1.003940272651001,NA
9871892,17,b o ʒ e n,5,-19.353746594881077,NA,-15.678950482149968,NA,-15.781459798642668,NA,1.3107776347241384,NA,1.3104887340444304,NA,1.0214541287111476,NA,1.020406306928782,NA
9871892,12,b u ʒ o ʒ,5,-23.76539676955428,NA,-21.96391548170358,NA,-21.79262912069044,NA,1.1538250828724028,NA,1.1538408478098283,NA,1.007399882196474,NA,1.007226945611721,NA
9871892,10,b u ʃ ɯ z,5,-18.694443256827626,NA,-15.374699720473922,NA,-15.412193074961616,NA,1.228789864159734,NA,1.2286669214026904,NA,1.0123098572091858,NA,1.0118615371614068,NA
9871892,10,n ø t u j,5,-18.16927071091751,NA,-22.851523275546036,NA,-22.813072474048504,NA,1.1724206207819898,NA,1.1723948121172356,NA,1.0038089132465688,NA,1.0038168140055153,NA
9871892,6,ɟ y f ɯ t͡ʃ,5,-23.521012578915236,NA,-25.37166299204228,NA,-24.957736942410385,NA,1.1507777147848135,NA,1.1507931543712089,NA,1.0033263350439428,NA,1.0033620285817637,NA
9871892,13,ɟ e g o h,5,-22.32385648599314,NA,-Inf,NA,-29.10574748028316,NA,1.2145067608813798,NA,1.2144132380835384,NA,1.0014568108084176,NA,1.0015956377134012,NA
9871892,10,h i ʒ o ʃ,5,-20.809527385524937,NA,-21.758984629549015,NA,-21.594790011980702,NA,1.1730182993086722,NA,1.1729939503390143,NA,1.005756231853628,NA,1.0056643656940627,NA
9871892,9,l e l y j,5,-19.772550808587734,NA,-Inf,NA,-29.3209145608971,NA,1.2343400791144985,NA,1.2342095483700994,NA,1.003248067408103,NA,1.0032923638392548,NA
9871892,7,b o p o p,5,-19.25272795784617,NA,-15.57498426327942,NA,-15.61426036762116,NA,1.1967740047349058,NA,1.1967095549773488,NA,1.013486997864271,NA,1.0129840432080757,NA
9871892,45,t͡ʃ ø ɟ ø z,5,-26.083819330183616,NA,-Inf,NA,-21.52261786831054,NA,1.069838381124956,NA,1.0699952387320184,NA,1.0017666031757022,NA,1.0018897030116924,NA
9871892,48,b e v e z,5,-16.966870081071157,NA,-14.397609492998663,NA,-14.44031212076233,NA,1.3929229704223276,NA,1.392511185542819,NA,1.029528725669076,NA,1.0281611900392078,NA
9871892,51,k ɯ k a ɾ,5,-13.852944181894015,NA,-12.360407543244856,NA,-12.380543004924991,NA,1.493480237823476,NA,1.492865948681668,NA,1.0526280988311794,NA,1.0498258559342786,NA
9871892,13,ɫ a c y j,5,-19.086255322116067,NA,-Inf,NA,-25.538775771876324,NA,1.3230324671869529,NA,1.3227486196407618,NA,1.003067474913099,NA,1.0031221678969575,NA
9871892,10,ɟ e ʒ u ʒ,5,-26.43413105782542,NA,-Inf,NA,-29.33912315678841,NA,1.2174662892996293,NA,1.2173699757285252,NA,1.000599585740761,NA,1.000785798371226,NA
9871892,10,ɫ o c y j,5,-20.834342988819134,NA,-Inf,NA,-27.6512910295423,NA,1.1213426924902457,NA,1.121407789190935,NA,1.002308197629775,NA,1.0024028393006907,NA
9871892,13,d a d͡ʒ y c,5,-20.390530859618952,NA,-21.37064354819536,NA,-21.197885713347908,NA,1.3547360937852992,NA,1.3544042392735065,NA,1.0112501093178448,NA,1.0108747896025891,NA
9871892,55,k ɯ ɾ i n,5,-14.682152744236394,NA,-12.37822264154962,NA,-12.400758782495078,NA,1.4897929801932763,NA,1.4891922342093775,NA,1.0573621548079215,NA,1.054404034344128,NA
